@relation winequality-white-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N6-F2-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N3-F2-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N5-F2

@attribute 'fixed acidity' numeric
@attribute 'volatile acidity' numeric
@attribute 'citric acid' numeric
@attribute 'residual sugar' numeric
@attribute chlorides numeric
@attribute 'free sulfur dioxide' numeric
@attribute 'total sulfur dioxide' numeric
@attribute density numeric
@attribute pH numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute Quality {Good,Bad}

@data
6.2,0.25,0.39,1.3,0.051,42,135,0.9906,3.23,0.4,11.1,Good
6.4,0.23,0.35,4.6,0.039,43,147,0.99216,3.18,0.4,11,Good
6.4,0.17,0.27,9.9,0.047,26,101,0.99596,3.34,0.5,9.9,Good
7.6,0.31,0.24,1.8,0.037,39,150,0.9913,3.05,0.44,11.8,Good
6.8,0.19,0.71,17.5,0.042,21,114,0.99784,2.85,0.5,9.5,Good
6.4,0.16,0.44,1.2,0.051,39,122,0.99058,3.11,0.75,11.3,Good
5.4,0.17,0.27,2.7,0.049,28,104,0.99224,3.46,0.55,10.3,Good
7.3,0.23,0.41,14.6,0.048,73,223,0.99863,3.16,0.71,9.4,Good
6.5,0.4,0.31,3.5,0.046,22,147,0.99024,3.15,0.31,12,Good
7,0.24,0.24,1.8,0.047,29,91,0.99251,3.3,0.43,9.9,Good
6,0.27,0.31,5,0.043,54,170,0.9924,3.28,0.52,11,Good
5.8,0.12,0.21,1.3,0.056,35,121,0.9908,3.32,0.33,11.4,Good
5.8,0.26,0.29,1,0.042,35,101,0.99044,3.36,0.48,11.4,Good
5.9,0.48,0.3,1.5,0.037,19,78,0.99057,3.47,0.42,11.9,Good
4.9,0.47,0.17,1.9,0.035,60,148,0.98964,3.27,0.35,11.5,Good
7.5,0.29,0.36,15.7,0.05,29,124,0.9968,3.06,0.54,10.4,Bad
6.2,0.45,0.26,4.4,0.063,63,206,0.994,3.27,0.52,9.8,Bad
7.1,0.4,0.52,1.3,0.148,45,149,0.99468,3.08,0.56,8.7,Bad
7.9,0.31,0.22,13.3,0.048,46,212,0.99942,3.47,0.59,10,Bad
6.2,0.44,0.18,7.7,0.096,28,210,0.99771,3.56,0.72,9.2,Bad
7.4,0.27,0.31,2.4,0.014,15,143,0.99094,3.03,0.65,12,Bad
7.3,0.25,0.26,7.2,0.048,52,207,0.99587,3.12,0.37,9.2,Bad
4.9,0.345,0.34,1,0.068,32,143,0.99138,3.24,0.4,10.1,Bad
6.3,0.24,0.29,1.6,0.052,48,185,0.9934,3.21,0.5,9.4,Bad
6.2,0.47,0.21,1,0.044,13,98,0.99345,3.14,0.46,9.2,Bad
9,0.31,0.49,6.9,0.034,26,91,0.9937,2.99,0.34,11.5,Bad
7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6,Bad
7.4,0.27,0.26,11.8,0.053,55,173,0.99699,3.11,0.6,9.8,Bad
8.7,0.49,0.57,17.8,0.052,34,243,1.0007,2.98,0.82,9,Bad
5.8,0.34,0.21,6.6,0.04,50,167,0.9941,3.29,0.62,10,Bad
7.2,0.14,0.35,1.2,0.036,15,73,0.9938,3.46,0.39,9.9,Bad
6.9,0.2,0.4,7.7,0.032,51,176,0.9939,3.22,0.27,11.4,Bad
8.6,0.485,0.29,4.1,0.026,19,101,0.9918,3.01,0.38,12.4,Bad
5.1,0.21,0.28,1.4,0.047,48,148,0.99168,3.5,0.49,10.4,Bad
6.2,0.23,0.35,0.7,0.051,24,111,0.9916,3.37,0.43,11,Bad
7.2,0.26,0.74,13.6,0.05,56,162,0.998,3.03,0.44,8.8,Bad
7.9,0.46,0.4,10.1,0.168,19,184,0.99782,3.06,0.62,9.5,Bad
6.9,0.19,0.33,1.6,0.043,63,149,0.9925,3.44,0.52,10.8,Bad
6.9,0.4,0.17,12.9,0.033,59,186,0.99754,3.08,0.49,9.4,Bad
7.3,0.25,0.26,7.2,0.048,52,207,0.99587,3.12,0.37,9.2,Bad
6.9,0.4,0.37,8.9,0.053,36,148,0.996,3.16,0.5,9.3,Bad
6.1,1.1,0.16,4.4,0.033,8,109,0.99058,3.35,0.47,12.4,Bad
6.4,0.21,0.44,7.4,0.045,47,182,0.9957,3.24,0.46,9.1,Bad
7,0.44,0.24,12.1,0.056,68,210,0.99718,3.05,0.5,9.5,Bad
7.1,0.21,0.27,8.6,0.056,26,111,0.9956,2.95,0.52,9.5,Bad
6.6,0.24,0.22,12.3,0.051,35,146,0.99676,3.1,0.67,9.4,Bad
7.4,0.44,0.2,11.5,0.049,44,157,0.998,3.27,0.44,9,Bad
7.4,0.21,0.3,7.9,0.039,14,118,0.9942,2.96,0.34,10.4,Bad
5.9,0.44,0.33,1.2,0.049,12,117,0.99134,3.46,0.44,11.5,Bad
6.8,0.27,0.26,16.1,0.049,55,196,0.9984,3.15,0.5,9.3,Bad
6.4,0.33,0.44,8.9,0.055,52,164,0.99488,3.1,0.48,9.6,Bad
6.3,0.3,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,Good
8.2,0.23,0.4,7.5,0.049,12,76,0.9966,3.06,0.84,9.7,Good
6.8,0.28,0.6,1.1,0.132,42,127,0.9934,3.09,0.44,9.1,Good
6,0.25,0.28,2.2,0.026,54,126,0.9898,3.43,0.65,12.9,Good
8.2,0.23,0.29,1.8,0.047,47,187,0.9933,3.13,0.5,10.2,Good
6.6,0.25,0.3,14.4,0.052,40,183,0.998,3.02,0.5,9.1,Good
8.1,0.27,0.35,1.7,0.03,38,103,0.99255,3.22,0.63,10.4,Good
7.8,0.27,0.34,1.6,0.046,27,154,0.9927,3.05,0.45,10.5,Good
7,0.17,0.37,5.7,0.025,29,111,0.9938,3.2,0.49,10.8,Good
7.8,0.16,0.41,1.7,0.026,29,140,0.991,3.02,0.78,12.5,Good
7.3,0.18,0.29,1.2,0.044,12,143,0.9918,3.2,0.48,11.3,Good
6.6,0.21,0.49,18.15,0.042,41,158,0.9997,3.28,0.39,8.7,Good
6.7,0.26,0.49,8.3,0.047,54,191,0.9954,3.23,0.4,10.3,Good
7.6,0.3,0.22,10.2,0.049,57,191,0.9966,3.08,0.4,9.3,Good
7,0.12,0.32,7.2,0.058,22,89,0.9966,3.29,0.38,9.2,Good
6.5,0.14,0.32,2.7,0.037,18,89,0.9924,3.4,0.74,11.5,Good
7,0.32,0.31,6.4,0.031,38,115,0.99235,3.38,0.58,12.2,Good
5.6,0.35,0.4,6.3,0.022,23,174,0.9922,3.54,0.5,11.6,Good
6.6,0.26,0.21,2.9,0.026,48,126,0.99089,3.22,0.38,11.3,Good
5.8,0.17,0.34,1.8,0.045,96,170,0.99035,3.38,0.9,11.8,Good
7.2,0.21,0.28,2.7,0.033,38,94,0.99075,2.99,0.43,11.8,Good
5,0.27,0.32,4.5,0.032,58,178,0.98956,3.45,0.31,12.6,Good
6.9,0.22,0.43,6.4,0.042,34,115,0.99293,3.05,0.51,10.8,Good
6.7,0.13,0.45,4.2,0.043,52,131,0.99162,3.06,0.54,11.3,Good
7.2,0.22,0.28,7.2,0.06,41,132,0.9935,3.08,0.59,11.3,Good
6.2,0.36,0.45,10.4,0.06,22,184,0.99711,3.31,0.56,9.8,Good
6.8,0.19,0.71,17.5,0.042,21,114,0.99784,2.85,0.5,9.5,Good
6.8,0.15,0.41,12.9,0.044,79.5,182,0.99742,3.24,0.78,10.2,Good
6.1,0.21,0.3,6.3,0.039,47,136,0.99068,3.27,0.31,12.7,Good
6.7,0.19,0.32,3.7,0.041,26,76,0.99173,2.9,0.57,10.5,Good
6.3,0.23,0.22,17.45,0.054,42,151,0.99853,3.12,0.6,9.3,Good
6.7,0.11,0.26,14.8,0.053,44,95,0.99676,3.2,0.35,9.8,Good
7.1,0.21,0.33,1.2,0.039,34,97,0.99112,3.11,0.75,11.2,Good
6.4,0.24,0.27,1.5,0.04,35,105,0.98914,3.13,0.3,12.4,Good
5.7,0.39,0.25,4.9,0.033,49,113,0.98966,3.26,0.58,13.1,Good
5.3,0.4,0.25,3.9,0.031,45,130,0.99072,3.31,0.58,11.75,Good
6.6,0.34,0.4,8.1,0.046,68,170,0.99494,3.15,0.5,9.55,Good
6.4,0.13,0.47,1.6,0.092,40,158,0.9928,3.21,0.36,9.8,Good
5.9,0.15,0.31,5.8,0.041,53,155,0.9945,3.52,0.46,10.5,Good
7.2,0.25,0.39,18.95,0.038,42,155,0.9999,2.97,0.47,9,Good
7,0.3,0.51,13.6,0.05,40,168,0.9976,3.07,0.52,9.6,Good
5.6,0.25,0.26,3.6,0.037,18,115,0.9904,3.42,0.5,12.6,Good
7.3,0.205,0.31,1.7,0.06,34,110,0.9963,3.72,0.69,10.5,Good
6.5,0.08,0.33,1.9,0.028,23,93,0.991,3.34,0.7,12,Good
7.2,0.37,0.15,2,0.029,27,87,0.9903,3.3,0.59,12.6,Good
6.4,0.22,0.34,1.8,0.057,29,104,0.9959,3.81,0.57,10.3,Good
6.9,0.27,0.41,1.7,0.047,6,134,0.9929,3.15,0.69,11.4,Good
7,0.17,0.74,12.8,0.045,24,126,0.9942,3.26,0.38,12.2,Good
7.8,0.15,0.24,7.7,0.047,21,98,0.9951,2.94,0.31,9.6,Good
7.8,0.4,0.26,9.5,0.059,32,178,0.9955,3.04,0.43,10.9,Good
6.8,0.43,0.3,3.5,0.033,27,135,0.9906,3,0.37,12,Good
7.9,0.17,0.32,1.6,0.053,47,150,0.9948,3.29,0.76,9.6,Good
8.5,0.25,0.31,2.8,0.032,11,61,0.99189,3.06,0.44,11.5,Good
7.3,0.22,0.26,1.5,0.04,32,172,0.99194,3.27,0.48,11.2,Good
6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,Good
5.3,0.2,0.31,3.6,0.036,22,91,0.99278,3.41,0.5,9.8,Good
6.9,0.33,0.26,5,0.027,46,143,0.9924,3.25,0.43,11.2,Good
7.2,0.19,0.31,6.3,0.034,17,103,0.99305,3.15,0.52,11.4,Good
6.5,0.23,0.39,1.9,0.036,41,98,0.99,3.19,0.43,11.9,Good
6.8,0.27,0.42,7.3,0.054,58,200,0.99556,3.12,0.49,9.4,Good
6.9,0.36,0.28,13.55,0.048,51,189,0.99782,3,0.6,9.5,Good
6.1,0.105,0.31,1.3,0.037,55,145,0.9912,3.41,0.41,11.1,Good
8,0.25,0.27,9.7,0.036,15,85,0.99406,2.99,0.36,11.2,Good
5.4,0.3,0.3,1.2,0.029,25,93,0.98742,3.31,0.4,13.6,Good
4.8,0.26,0.23,10.6,0.034,23,111,0.99274,3.46,0.28,11.5,Good
6.7,0.18,0.31,10.6,0.035,42,143,0.99572,3.08,0.49,9.8,Good
6.6,0.41,0.27,10.7,0.11,20,103,0.99672,3.08,0.41,9,Good
5.2,0.2,0.27,3.2,0.047,16,93,0.99235,3.44,0.53,10.1,Good
6.4,0.31,0.27,7.4,0.049,48,169,0.99323,3.27,0.45,11.1,Good
6.8,0.33,0.3,2.1,0.047,35,147,0.9886,3.24,0.56,13.4,Good
6.1,0.19,0.37,2.6,0.041,24,99,0.99153,3.18,0.5,10.9,Good
5.5,0.3,0.25,1.9,0.029,33,118,0.98972,3.36,0.66,12.5,Good
6,0.52,0.33,7.7,0.046,24,119,0.99224,3.04,0.38,11,Good
8.4,0.35,0.71,12.2,0.046,22,160,0.9982,2.98,0.65,9.4,Bad
6.8,0.25,0.18,1.4,0.056,13,137,0.9935,3.11,0.42,9.5,Bad
6.4,0.26,0.43,12.6,0.033,64,230,0.9974,3.08,0.38,8.9,Bad
8.3,0.27,0.34,10.2,0.048,50,118,0.99716,3.18,0.51,10.3,Bad
6.1,0.6,0.12,1.8,0.05,11,76,0.99268,3.42,0.48,10.4,Bad
6.5,0.26,0.34,1.4,0.04,25,184,0.99216,3.29,0.46,10.7,Bad
7,0.57,0.1,8.3,0.094,23,188,0.9972,3.4,0.47,9.2,Bad
6.7,0.25,0.36,8.6,0.037,63,206,0.99553,3.18,0.5,9.6,Bad
7.2,0.4,0.24,8.5,0.055,45,151,0.99626,3.2,0.52,9.2,Bad
7.3,0.31,0.69,10.2,0.041,58,160,0.9977,3.06,0.45,8.6,Bad
6.8,0.3,0.24,6.6,0.123,35,116,0.9953,3.07,0.48,9.4,Bad
6.9,0.29,0.23,8.6,0.056,56,215,0.9967,3.17,0.44,8.8,Bad
7.6,0.38,0.2,3.4,0.046,9,116,0.9944,3.15,0.41,9.4,Bad
7,0.28,0.28,1.4,0.039,12,83,0.99173,3.18,0.65,11.1,Bad
7.6,0.15,0.4,1.3,0.036,24,112,0.9932,3.14,0.76,10,Bad
6.1,0.38,0.47,1.4,0.051,59,210,0.99309,3.24,0.5,9.6,Bad
7,0.12,0.28,6.3,0.057,17,103,0.9957,3.5,0.44,9.6,Bad
5.9,0.32,0.26,1.5,0.057,17,141,0.9917,3.24,0.36,10.7,Bad
5.7,0.33,0.15,1.9,0.05,20,93,0.9934,3.38,0.62,9.9,Bad
6.1,0.28,0.35,12.8,0.048,63,229,0.9975,3.08,0.4,8.9,Bad
5.8,0.22,0.3,1.1,0.047,36,131,0.992,3.26,0.45,10.4,Bad
5.9,0.655,0,5.6,0.033,8,31,0.9936,3.32,0.51,10.5,Bad
7.1,0.21,0.28,2.7,0.034,23,111,0.99405,3.35,0.64,10.2,Bad
5.5,0.17,0.23,2.9,0.039,10,108,0.99243,3.28,0.5,10,Bad
9.1,0.28,0.49,2,0.059,10,112,0.9958,3.15,0.46,10.1,Bad
6.5,0.27,0.4,10,0.039,74,227,0.99582,3.18,0.5,9.4,Bad
7,0.23,0.42,1.1,0.062,35,100,0.99318,3.04,0.4,9.2,Bad
7.9,0.29,0.39,6.7,0.036,6,117,0.9938,3.12,0.42,10.7,Bad
6.8,0.39,0.31,14.35,0.043,28,162,0.9988,3.17,0.54,9.1,Bad
7.2,0.21,0.36,15.7,0.045,68,183,0.99922,3.25,0.76,9.4,Bad
9.8,0.42,0.48,9.85,0.034,5,110,0.9958,2.87,0.29,10,Bad
5.2,0.17,0.27,0.7,0.03,11,68,0.99218,3.3,0.41,9.8,Bad
7.2,0.24,0.4,17.85,0.049,50,185,1,3.34,0.42,9.6,Bad
7.2,0.16,0.35,1.2,0.031,27,84,0.9928,3.33,0.34,9.9,Bad
5.6,0.35,0.37,1,0.038,6,72,0.9902,3.37,0.34,11.4,Bad
5.8,0.33,0.23,5,0.053,29,106,0.99458,3.13,0.52,9,Bad
