@relation winequality-white-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N6-F2-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N3-F1-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N5-F4

@attribute 'fixed acidity' numeric
@attribute 'volatile acidity' numeric
@attribute 'citric acid' numeric
@attribute 'residual sugar' numeric
@attribute chlorides numeric
@attribute 'free sulfur dioxide' numeric
@attribute 'total sulfur dioxide' numeric
@attribute density numeric
@attribute pH numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute Quality {Good,Bad}

@data
9.1,0.27,0.45,10.6,0.035,28,124,0.997,3.2,0.46,10.4,Good
5.6,0.19,0.39,1.1,0.043,17,67,0.9918,3.23,0.53,10.3,Good
7.1,0.3,0.36,6.8,0.055,44.5,234,0.9972,3.49,0.64,10.2,Good
6.9,0.25,0.26,5.2,0.024,36,135,0.9948,3.16,0.72,10.7,Good
7.6,0.19,0.42,1.5,0.044,6,114,0.9914,3.04,0.74,12.8,Good
8.3,0.2,0.74,4.45,0.044,33,130,0.9924,3.25,0.42,12.2,Good
7.4,0.3,0.49,8.2,0.055,49,188,0.9974,3.52,0.58,9.7,Good
6.6,0.25,0.31,1.5,0.035,32,127,0.9921,3.41,0.47,11.3,Good
7.2,0.24,0.29,2.2,0.037,37,102,0.992,3.27,0.64,11,Good
8.4,0.2,0.38,11.8,0.055,51,170,1.0004,3.34,0.82,8.9,Good
7.6,0.27,0.42,2.6,0.044,29,110,0.9912,3.31,0.51,12.7,Good
7.5,0.23,0.29,2.6,0.031,24,98,0.99194,3,0.54,10.9,Good
7.3,0.51,0.29,11.3,0.034,61,224,0.99683,3.14,0.56,9.5,Good
9.6,0.655,0.21,2,0.039,21,120,0.99188,3,1,12.6,Good
6.5,0.37,0.3,2.2,0.033,39,107,0.98894,3.22,0.53,13.5,Good
6.6,0.22,0.29,14.4,0.046,39,118,0.99834,3.05,0.5,9.1,Good
7.2,0.21,1,1.1,0.154,46,114,0.9931,2.95,0.43,9.2,Good
7.6,0.17,0.46,0.9,0.036,63,147,0.99126,3.02,0.41,10.7,Good
6.6,0.2,0.14,4.4,0.184,35,168,0.99396,2.93,0.45,9.4,Good
7.4,0.29,0.28,10.2,0.032,43,138,0.9951,3.1,0.47,10.6,Good
7,0.22,0.24,11,0.041,75,167,0.99508,2.98,0.56,10.5,Good
6.6,0.36,0.28,6.1,0.029,12,93,0.99054,3.19,0.27,12.8,Good
7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,Good
5,0.455,0.18,1.9,0.036,33,106,0.98746,3.21,0.83,14,Good
6.4,0.2,0.22,7.4,0.032,53,172,0.99404,3.24,0.58,11,Good
6.6,0.22,0.35,1.4,0.05,23,83,0.99019,3.17,0.48,12,Good
5.6,0.26,0,10.2,0.038,13,111,0.99315,3.44,0.46,12.4,Good
6.7,0.28,0.28,4.5,0.051,14,92,0.99224,3.36,0.58,11.9,Good
6.2,0.2,0.26,9.7,0.03,39,102,0.9908,3.08,0.56,12.9,Good
6.7,0.16,0.32,12.5,0.035,18,156,0.99666,2.88,0.36,9,Good
6.4,0.105,0.29,1.1,0.035,44,140,0.99142,3.17,0.55,10.7,Good
7.6,0.17,0.45,11.2,0.054,56,137,0.997,3.15,0.47,10,Bad
7.9,0.28,0.32,3.6,0.038,9,76,0.992,3.05,0.31,11.7,Bad
6.8,0.17,0.32,1.4,0.04,35,106,0.99026,3.16,0.66,12,Bad
7.2,0.31,0.35,7.2,0.046,45,178,0.9955,3.14,0.53,9.7,Bad
7.6,0.48,0.37,1.2,0.034,5,57,0.99256,3.05,0.54,10.4,Bad
4.7,0.67,0.09,1,0.02,5,9,0.98722,3.3,0.34,13.6,Bad
8.1,0.2,0.3,1.3,0.036,7,49,0.99242,2.99,0.73,10.3,Bad
7.5,0.2,0.47,16.9,0.052,51,188,0.99944,3.09,0.62,9.3,Bad
6.1,0.22,0.25,12.1,0.035,54,135,0.99481,3.21,0.4,10.7,Bad
6.1,0.28,0.27,8,0.048,41,162,0.99498,3.21,0.51,9.9,Bad
6.7,0.31,0.42,6.4,0.057,25,148,0.9955,3.16,0.45,9.6,Bad
6.8,0.32,0.18,7.5,0.041,71,223,0.9959,3.14,0.41,8.9,Bad
8.2,0.36,0.29,7.6,0.035,37,122,0.9939,3.16,0.34,12,Bad
8.1,0.36,0.59,13.6,0.051,60,134,0.99886,2.96,0.39,8.7,Bad
5.8,0.31,0.31,7.5,0.052,55,230,0.9949,3.19,0.46,9.8,Bad
7.6,0.26,0.36,1.6,0.032,6,106,0.993,3.15,0.4,10.4,Bad
6.8,0.3,0.33,12.8,0.041,60,168,0.99659,3.1,0.56,9.8,Bad
8,0.43,0.4,12.4,0.168,29,190,0.9991,3.07,0.64,9.2,Bad
8.2,0.17,0.32,1.5,0.05,17,101,0.994,3.14,0.58,9.5,Bad
7.8,0.29,0.33,8.75,0.035,33,181,0.9962,3.11,0.46,10.7,Bad
6.7,0.4,0.22,8.8,0.052,24,113,0.99576,3.22,0.45,9.4,Bad
6.6,0.22,0.28,12.05,0.058,25,125,0.99856,3.45,0.45,9.4,Bad
6,0.33,0.18,3,0.036,5,85,0.99125,3.28,0.4,11.5,Bad
6.7,0.31,0.09,1.4,0.039,53,141,0.99206,3.12,0.44,10.1,Bad
7,0.3,0.28,2.2,0.042,21,177,0.99166,3.2,0.57,11.4,Bad
7.3,0.3,0.74,13.5,0.039,46,165,0.9982,3.02,0.4,8.7,Bad
8.9,0.32,0.49,1.6,0.05,17,131,0.9956,3.13,0.34,9.4,Bad
6,0.36,0.16,6.3,0.036,36,191,0.9942,3.17,0.62,9.8,Bad
6.7,0.33,0.42,6.4,0.058,27,151,0.9954,3.16,0.44,9.6,Bad
8,0.27,0.24,1.2,0.044,20,102,0.9929,3.28,0.42,10.9,Bad
8.2,0.61,0.45,5.4,0.03,15,118,0.9954,3.14,0.34,9.6,Bad
6.5,0.32,0.12,11.5,0.033,35,165,0.9974,3.22,0.32,9,Bad
7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2,Bad
6,0.615,0.04,0.8,0.032,8,50,0.99036,3.14,0.4,11,Bad
6.8,0.3,0.33,12.8,0.041,60,168,0.99659,3.1,0.56,9.8,Bad
5.6,0.41,0.22,7.1,0.05,44,154,0.9931,3.3,0.4,10.5,Bad
6.6,0.27,0.29,5.3,0.045,57,189,0.9953,3.31,0.79,9.8,Bad
7.1,0.23,0.35,16.5,0.04,60,171,0.999,3.16,0.59,9.1,Good
6.5,0.28,0.33,15.7,0.053,51,190,0.9978,3.22,0.51,9.7,Good
6.8,0.22,0.31,6.3,0.035,33,170,0.9918,3.24,0.66,12.6,Good
6.8,0.28,0.17,13.9,0.047,49,162,0.9983,3.21,0.51,9,Good
6.1,0.36,0.16,6.4,0.037,36,198,0.9944,3.17,0.62,9.9,Good
7.1,0.16,0.36,10.7,0.044,20,90,0.9959,3.16,0.44,10.9,Good
7.3,0.24,0.34,15.4,0.05,38,174,0.9983,3.03,0.42,9,Good
5.8,0.29,0.21,2.6,0.025,12,120,0.9894,3.39,0.79,14,Good
7.2,0.21,0.34,1.1,0.046,25,80,0.992,3.25,0.4,11.3,Good
8.3,0.26,0.41,9.2,0.042,41,162,0.9944,3.1,0.38,12,Good
6.8,0.27,0.49,1.2,0.044,35,126,0.99,3.13,0.48,12.1,Good
7,0.14,0.49,5.9,0.053,22,118,0.9954,3.36,0.36,9.4,Good
6.4,0.17,0.27,1.5,0.037,20,98,0.9916,3.46,0.42,11,Good
7.9,0.37,0.3,2.7,0.029,64,158,0.9916,3.12,0.59,12,Good
6.6,0.22,0.28,4.9,0.042,51,180,0.9952,3.3,0.75,9.5,Good
6.2,0.26,0.19,3.4,0.049,47,172,0.9924,3.14,0.43,10.4,Good
8.1,0.4,0.32,7.9,0.031,23,118,0.99176,3.05,0.46,13.3,Good
6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,Good
7.5,0.18,0.31,6.5,0.029,53,160,0.99276,3.03,0.38,10.9,Good
5.3,0.16,0.39,1,0.028,40,101,0.99156,3.57,0.59,10.6,Good
6,0.26,0.32,3.8,0.029,48,180,0.99011,3.15,0.34,12,Good
7,0.25,0.45,2.3,0.045,40,118,0.99064,3.16,0.48,11.9,Good
8.2,0.3,0.44,12.4,0.043,52,154,0.99452,3.04,0.33,12,Good
6.9,0.38,0.29,13.65,0.048,52,189,0.99784,3,0.6,9.5,Good
6.6,0.15,0.32,6,0.033,59,128,0.99192,3.19,0.71,12.1,Good
8.1,0.2,0.28,0.9,0.023,49,87,0.99062,2.92,0.36,11.1,Good
5.8,0.32,0.28,4.3,0.032,46,115,0.98946,3.16,0.57,13,Good
7.3,0.24,0.3,2.5,0.042,31,104,0.9911,3.05,0.56,11.3,Good
7.2,0.58,0.27,5.8,0.032,40,118,0.99088,3.17,0.53,13,Good
6.7,0.24,0.3,10.2,0.07,44,179,0.99666,2.86,0.46,8.9,Good
8,0.33,0.32,4.6,0.041,31,180,0.99184,2.92,0.74,12.2,Good
7.1,0.23,0.3,2.6,0.034,62,148,0.99121,3.03,0.56,11.3,Good
7.8,0.27,0.33,2.4,0.053,36,175,0.992,3.2,0.55,11,Good
7.5,0.305,0.38,1.4,0.047,30,95,0.99158,3.22,0.52,11.5,Good
5.2,0.185,0.22,1,0.03,47,123,0.99218,3.55,0.44,10.15,Good
6.2,0.35,0.29,3.9,0.041,22,79,0.99005,3.1,0.59,12.066667,Good
7.1,0.18,0.36,1.4,0.043,31,87,0.9898,3.26,0.37,12.7,Good
5.8,0.2,0.27,1.4,0.031,12,77,0.9905,3.25,0.36,10.9,Good
6.4,0.31,0.28,1.5,0.037,12,119,0.9919,3.32,0.51,10.4,Good
7.4,0.36,0.33,1.4,0.025,27,55,0.9915,3.21,0.33,11.2,Good
9,0.27,0.35,4.9,0.028,27,95,0.9932,3.04,0.4,11.3,Good
5.4,0.18,0.24,4.8,0.041,30,113,0.99445,3.42,0.4,9.4,Good
7.9,0.28,0.41,2,0.044,50,152,0.9934,3.45,0.49,10.7,Good
7.5,0.28,0.33,7.7,0.048,42,180,0.9974,3.37,0.59,10.1,Good
6.4,0.23,0.33,1.15,0.044,15.5,217.5,0.992,3.33,0.44,11,Good
7.3,0.23,0.37,1.9,0.041,51,165,0.9908,3.26,0.4,12.2,Good
7.1,0.25,0.49,3,0.03,30,96,0.9903,3.13,0.39,12.3,Good
6.7,0.33,0.49,1.6,0.167,20,94,0.9914,3.11,0.5,11.4,Good
8.7,0.34,0.46,13.8,0.055,68,198,0.9988,3.36,0.37,9.5,Good
7.4,0.21,0.27,7.3,0.031,41,144,0.9932,3.15,0.38,11.8,Good
6.3,0.21,0.28,1.5,0.051,46,142,0.9928,3.23,0.42,10.1,Good
6.5,0.24,0.36,2.2,0.027,36,134,0.9898,3.28,0.36,12.5,Good
7,0.23,0.42,5.1,0.042,37,144,0.99518,3.5,0.59,10.2,Good
6.3,0.26,0.42,7.1,0.045,62,209,0.99544,3.2,0.53,9.5,Good
6.9,0.3,0.25,3.3,0.041,26,124,0.99428,3.18,0.5,9.3,Good
7.2,0.26,0.4,6.3,0.047,52,172,0.99573,3.18,0.53,9.5,Good
7.3,0.4,0.26,5.45,0.016,26,90,0.98951,2.84,0.54,13.2,Good
6,0.35,0.51,1.2,0.029,10,102,0.9903,3.46,0.42,11.9,Good
7,0.21,0.42,5.3,0.037,36,123,0.99321,3.14,0.52,10.9,Good
6.6,0.435,0.38,9.2,0.058,66,243,0.99833,3.23,0.54,9.1,Good
6.3,0.29,0.28,4.7,0.059,28,81,0.99036,3.24,0.56,12.7,Good
6.5,0.28,0.25,4.8,0.029,54,128,0.99074,3.17,0.44,12.2,Good
5.9,0.18,0.28,5.1,0.039,50,139,0.99165,3.16,0.44,11.3,Good
7.6,0.27,0.3,9.2,0.018,23,96,0.9938,3.08,0.29,11,Good
6.1,0.28,0.26,1.5,0.03,25,101,0.98894,3.03,0.41,12.1,Good
6.6,0.5,0.26,11.3,0.029,32,110,0.99302,3.27,0.78,12.9,Good
5.3,0.33,0.3,1.2,0.048,25,119,0.99045,3.32,0.62,11.3,Good
6.3,0.28,0.22,11.5,0.036,27,150,0.99445,3,0.33,10.6,Good
4.7,0.145,0.29,1,0.042,35,90,0.9908,3.76,0.49,11.3,Good
5.8,0.42,0.3,2.2,0.035,26,129,0.989,3.32,0.47,12.9,Good
5.4,0.205,0.16,12.55,0.051,31,115,0.99564,3.4,0.38,10.8,Good
6,0.34,0.29,6.1,0.046,29,134,0.99462,3.48,0.57,10.7,Good
6.6,0.38,0.36,9.2,0.061,42,214,0.9976,3.31,0.56,9.4,Bad
5.8,0.27,0.2,14.95,0.044,22,179,0.9962,3.37,0.37,10.2,Bad
7.2,0.29,0.18,8.2,0.042,41,180,0.99644,3.16,0.49,9.1,Bad
7.6,0.345,0.26,1.9,0.043,15,134,0.9936,3.08,0.38,9.5,Bad
7.6,0.21,0.35,1.2,0.041,7,106,0.9914,3.06,0.45,11.3,Bad
6.1,0.28,0.25,12.9,0.054,34,189,0.9979,3.25,0.43,9,Bad
6.8,0.21,0.36,18.1,0.046,32,133,1,3.27,0.48,8.8,Bad
6.9,0.28,0.22,10,0.052,36,131,0.99696,3.08,0.46,9.6,Bad
6.8,0.34,0.69,1.3,0.058,12,171,0.9931,3.06,0.47,9.7,Bad
7.4,0.24,0.31,8.4,0.045,52,183,0.9963,3.09,0.32,8.8,Bad
7,0.27,0.41,18.75,0.042,34,157,1.0002,2.96,0.5,9.1,Bad
6.9,0.29,0.23,8.6,0.056,56,215,0.9967,3.17,0.44,8.8,Bad
6.5,0.23,0.2,7.5,0.05,44,179,0.99504,3.18,0.48,9.533333,Bad
7.3,0.3,0.25,2.5,0.045,32,122,0.99329,3.18,0.54,10.3,Bad
5.8,0.33,0.2,16.05,0.047,26,166,0.9976,3.09,0.46,8.9,Bad
6.2,0.255,0.24,1.7,0.039,138.5,272,0.99452,3.53,0.53,9.6,Bad
6.6,0.56,0.22,8.9,0.034,27,133,0.99675,3.2,0.51,9.1,Bad
7.3,0.35,0.67,8.3,0.053,10,100,0.9959,3.19,0.5,10.9,Bad
4.8,0.33,0,6.5,0.028,34,163,0.9937,3.35,0.61,9.9,Bad
7.6,0.32,0.58,16.75,0.05,43,163,0.9999,3.15,0.54,9.2,Bad
6.9,0.35,0.74,1,0.044,18,132,0.992,3.13,0.55,10.2,Bad
7.3,0.25,0.39,6.4,0.034,8,84,0.9942,3.18,0.46,11.5,Bad
6.9,0.3,0.3,1.3,0.053,24,186,0.99361,3.29,0.54,9.9,Bad
7.1,0.29,0.3,16,0.036,58,201,0.99954,3.3,0.67,9,Bad
7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6,Bad
7.5,0.17,0.34,1.4,0.035,13,102,0.9918,3.05,0.74,11,Bad
6.9,0.25,0.24,1.8,0.053,6,121,0.993,3.23,0.7,11.4,Bad
7.4,0.31,0.48,14.2,0.042,62,204,0.9983,3.06,0.59,9.4,Bad
5.8,0.28,0.27,2.6,0.054,30,156,0.9914,3.53,0.42,12.4,Bad
6.7,0.27,0.25,8,0.053,54,202,0.9961,3.22,0.43,9.3,Bad
9.4,0.16,0.23,1.6,0.042,14,67,0.9942,3.07,0.32,9.5,Bad
7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,Bad
8.3,0.18,0.37,1.2,0.049,6,94,0.9937,3.18,0.52,10.1,Bad
7.5,0.33,0.38,8.7,0.126,49,199,0.99711,2.98,0.57,9.4,Bad
7.6,0.23,0.34,1.6,0.043,24,129,0.99305,3.12,0.7,10.4,Bad
7.9,0.35,0.36,1.6,0.038,11,124,0.9928,3.25,0.48,11,Bad
6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,Bad
6.7,0.19,0.36,1.1,0.026,63,143,0.9912,3.27,0.48,11,Good
6.2,0.28,0.22,7.3,0.041,26,157,0.9957,3.44,0.64,9.8,Good
7.3,0.28,0.36,12.7,0.04,38,140,0.998,3.3,0.79,9.6,Good
9.2,0.25,0.34,1.2,0.026,31,93,0.9916,2.93,0.37,11.3,Good
7.2,0.18,0.45,4.4,0.046,57,166,0.9943,3.13,0.62,11.2,Good
7.5,0.42,0.34,4.3,0.04,34,108,0.99155,3.14,0.45,12.8,Good
5.5,0.42,0.09,1.6,0.019,18,68,0.9906,3.33,0.51,11.4,Good
6.1,0.29,0.27,1.7,0.024,13,76,0.9893,3.21,0.51,12.6,Good
7.3,0.18,0.65,1.4,0.046,28,157,0.9946,3.33,0.62,9.4,Good
6.9,0.28,0.41,1.7,0.05,10,136,0.993,3.16,0.71,11.4,Good
9.2,0.18,0.49,1.5,0.041,39,130,0.9945,3.04,0.49,9.8,Good
8.2,0.2,0.49,3.5,0.057,14,108,0.9928,3.19,0.35,11.5,Good
7.8,0.39,0.26,9.9,0.059,33,181,0.9955,3.04,0.42,10.9,Good
7.2,0.36,0.36,5.7,0.038,26,98,0.9914,2.93,0.59,12.5,Good
8.3,0.17,0.31,1.5,0.049,48,153,0.9942,3.12,0.58,9.4,Good
6.6,0.19,0.43,10.9,0.045,53,154,0.99752,3.52,0.77,10.4,Good
8.1,0.34,0.28,7.5,0.04,70,230,0.99558,3.14,0.55,9.8,Good
6.9,0.13,0.28,13.3,0.05,47,132,0.99655,3.34,0.42,10.1,Good
6.5,0.17,0.31,1.5,0.041,34,121,0.99092,3.06,0.46,10.5,Good
6.6,0.21,0.36,0.8,0.034,48,113,0.99165,3.24,0.68,10.5,Good
6.2,0.16,0.32,1.1,0.036,74,184,0.99096,3.22,0.41,11,Good
6.5,0.24,0.39,17.3,0.052,22,126,0.99888,3.11,0.47,9.2,Good
6.2,0.2,0.26,1.1,0.047,42,119,0.99158,3.48,0.6,11,Good
6.9,0.38,0.29,13.65,0.048,52,189,0.99784,3,0.6,9.5,Good
5.8,0.32,0.2,2.6,0.027,17,123,0.98936,3.36,0.78,13.9,Good
7.6,0.38,0.28,4.2,0.029,7,112,0.9906,3,0.41,12.6,Good
5.6,0.25,0.19,2.4,0.049,42,166,0.992,3.25,0.43,10.4,Good
7,0.15,0.29,16.4,0.058,45,110,0.9978,3.15,0.37,9.7,Good
6.4,0.17,0.3,2.8,0.034,33,125,0.99152,3.03,0.49,10.4,Good
6.4,0.14,0.28,7.9,0.057,21,82,0.99425,3.26,0.36,10,Good
6.2,0.29,0.23,12.4,0.048,33,201,0.99612,3.11,0.56,9.9,Good
6.4,0.31,0.28,2.5,0.039,34,137,0.98946,3.22,0.38,12.7,Good
6.1,0.27,0.32,1.1,0.034,24,110,0.9898,3.36,0.4,12.5,Good
6.1,0.19,0.37,2.6,0.041,24,99,0.99153,3.18,0.5,10.9,Good
5.5,0.16,0.31,1.2,0.026,31,68,0.9898,3.33,0.44,11.65,Good
5.5,0.31,0.29,3,0.027,16,102,0.99067,3.23,0.56,11.2,Good
7.2,0.39,0.63,11,0.044,55,156,0.9974,3.09,0.44,8.7,Good
6.4,0.23,0.39,1.8,0.032,23,118,0.9912,3.32,0.5,11.8,Good
7.5,0.35,0.28,9.6,0.051,26,157,0.9969,3.12,0.53,9.2,Good
5.8,0.36,0.32,1.7,0.033,22,96,0.9898,3.03,0.38,11.2,Good
7.8,0.42,0.26,9.2,0.058,34,199,0.9972,3.14,0.55,9.3,Good
6.2,0.29,0.26,13.1,0.046,55,204,0.99745,3.16,0.41,9.6,Good
6.3,0.27,0.46,11.75,0.037,61,212,0.9971,3.25,0.53,9.5,Good
6.3,0.23,0.21,5.1,0.035,29,142,0.9942,3.36,0.33,10.1,Good
9.4,0.26,0.53,1.2,0.047,25,109,0.9921,3.23,0.28,12.5,Good
6.5,0.37,0.33,3.9,0.027,40,130,0.9906,3.28,0.39,12.7,Good
7.9,0.22,0.24,4.6,0.044,39,159,0.9927,2.99,0.28,11.5,Good
5.8,0.19,0.49,4.9,0.04,44,118,0.9935,3.34,0.38,9.5,Good
7.7,0.38,0.4,2,0.038,28,152,0.9906,3.18,0.32,12.9,Good
8,0.25,0.26,14,0.043,41,248,0.9986,3.03,0.57,8.7,Good
6.7,0.3,0.45,10.6,0.032,56,212,0.997,3.22,0.59,9.5,Good
7.1,0.2,0.36,11.6,0.042,45,124,0.997,2.92,0.59,9.5,Good
6.5,0.24,0.29,8.2,0.043,32,156,0.99453,3.13,0.7,10.1,Good
6.3,0.13,0.42,1.1,0.043,63,146,0.99066,3.13,0.72,11.2,Good
6.5,0.22,0.5,16.4,0.048,36,182,0.99904,3.02,0.49,8.8,Good
7.2,0.44,0.28,3.4,0.048,22,112,0.99188,3.21,0.37,11.3,Good
6.6,0.23,0.3,14.9,0.051,33,118,0.99835,3.04,0.54,9,Good
6.2,0.36,0.38,3.2,0.031,20,89,0.98956,3.06,0.33,12,Good
7.9,0.34,0.44,6.5,0.027,47,126,0.99124,2.96,0.37,12.5,Good
5.7,0.26,0.3,1.8,0.039,30,105,0.98995,3.48,0.52,12.5,Good
6.4,0.32,0.27,4.9,0.034,18,122,0.9916,3.36,0.71,12.5,Good
6,0.33,0.2,1.8,0.031,49,159,0.9919,3.41,0.53,11,Good
6.3,0.32,0.17,17.75,0.06,51,190,0.99916,3.13,0.48,8.8,Good
6.5,0.25,0.27,17.4,0.064,29,140,0.99776,3.2,0.49,10.1,Good
6.2,0.27,0.32,6.3,0.048,47,159,0.99282,3.21,0.6,11,Good
5.7,0.25,0.26,12.5,0.049,52.5,120,0.99691,3.08,0.45,9.4,Good
5.8,0.22,0.29,1.3,0.036,25,68,0.98865,3.24,0.35,12.6,Good
7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,Good
6.7,0.31,0.33,2,0.033,12,74,0.99064,3.29,0.65,12.5,Good
8.3,0.22,0.34,1.1,0.043,20,116,0.9927,3,0.47,10.2,Good
4.8,0.225,0.38,1.2,0.074,47,130,0.99132,3.31,0.4,10.3,Good
5.6,0.33,0.28,1.2,0.031,33,97,0.99126,3.49,0.58,10.9,Good
6,0.27,0.15,1.5,0.056,35,128,0.9936,3.12,0.45,8.8,Bad
5.9,0.19,0.21,1.7,0.045,57,135,0.99341,3.32,0.44,9.5,Bad
6.9,0.29,0.41,7.8,0.046,52,171,0.99537,3.12,0.51,9.6,Bad
4.6,0.445,0,1.4,0.053,11,178,0.99426,3.79,0.55,10.2,Bad
6.3,0.695,0.55,12.9,0.056,58,252,0.99806,3.29,0.49,8.7,Bad
6,0.21,0.29,13.1,0.042,28,125,0.99936,3.39,0.45,8.6,Bad
7.3,0.34,0.21,3.2,0.05,14,136,0.9936,3.25,0.44,10.2,Bad
6.6,0.24,0.28,1.8,0.028,39,132,0.99182,3.34,0.46,11.4,Bad
7.7,0.34,0.3,8,0.048,25,192,0.9951,2.97,0.47,10.9,Bad
6.6,0.27,0.31,5.3,0.137,35,163,0.9951,3.2,0.38,9.3,Bad
6.8,0.44,0.37,5.1,0.047,46,201,0.9938,3.08,0.65,10.5,Bad
6.1,0.6,0,1.3,0.042,24,79,0.9937,3.31,0.38,9.4,Bad
7.5,0.33,0.39,12.4,0.065,29,119,0.9974,3.16,0.39,9.4,Bad
8,0.55,0.42,12.6,0.211,37,213,0.9988,2.99,0.56,9.3,Bad
6.6,0.31,0.38,16.05,0.058,16,165,0.9997,3.38,0.6,9.2,Bad
6.9,0.28,0.41,1.4,0.016,6,55,0.98876,3.16,0.4,13.4,Bad
7.6,0.3,0.38,2.1,0.043,10,98,0.99296,3.17,0.65,11,Bad
