@relation winequality-white-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N6-F2-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N3-F2-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N5-F1

@attribute 'fixed acidity' numeric
@attribute 'volatile acidity' numeric
@attribute 'citric acid' numeric
@attribute 'residual sugar' numeric
@attribute chlorides numeric
@attribute 'free sulfur dioxide' numeric
@attribute 'total sulfur dioxide' numeric
@attribute density numeric
@attribute pH numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute Quality {Good,Bad}

@data
6.4,0.22,0.34,1.8,0.057,29,104,0.9959,3.81,0.57,10.3,Good
6.9,0.27,0.41,1.7,0.047,6,134,0.9929,3.15,0.69,11.4,Good
7,0.17,0.74,12.8,0.045,24,126,0.9942,3.26,0.38,12.2,Good
7.8,0.15,0.24,7.7,0.047,21,98,0.9951,2.94,0.31,9.6,Good
7.8,0.4,0.26,9.5,0.059,32,178,0.9955,3.04,0.43,10.9,Good
6.8,0.43,0.3,3.5,0.033,27,135,0.9906,3,0.37,12,Good
7.9,0.17,0.32,1.6,0.053,47,150,0.9948,3.29,0.76,9.6,Good
8.5,0.25,0.31,2.8,0.032,11,61,0.99189,3.06,0.44,11.5,Good
7.3,0.22,0.26,1.5,0.04,32,172,0.99194,3.27,0.48,11.2,Good
6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,Good
5.3,0.2,0.31,3.6,0.036,22,91,0.99278,3.41,0.5,9.8,Good
6.9,0.33,0.26,5,0.027,46,143,0.9924,3.25,0.43,11.2,Good
7.2,0.19,0.31,6.3,0.034,17,103,0.99305,3.15,0.52,11.4,Good
6.5,0.23,0.39,1.9,0.036,41,98,0.99,3.19,0.43,11.9,Good
6.8,0.27,0.42,7.3,0.054,58,200,0.99556,3.12,0.49,9.4,Good
6.9,0.36,0.28,13.55,0.048,51,189,0.99782,3,0.6,9.5,Good
6.1,0.105,0.31,1.3,0.037,55,145,0.9912,3.41,0.41,11.1,Good
8,0.25,0.27,9.7,0.036,15,85,0.99406,2.99,0.36,11.2,Good
5.4,0.3,0.3,1.2,0.029,25,93,0.98742,3.31,0.4,13.6,Good
4.8,0.26,0.23,10.6,0.034,23,111,0.99274,3.46,0.28,11.5,Good
6.7,0.18,0.31,10.6,0.035,42,143,0.99572,3.08,0.49,9.8,Good
6.6,0.41,0.27,10.7,0.11,20,103,0.99672,3.08,0.41,9,Good
5.2,0.2,0.27,3.2,0.047,16,93,0.99235,3.44,0.53,10.1,Good
6.4,0.31,0.27,7.4,0.049,48,169,0.99323,3.27,0.45,11.1,Good
6.8,0.33,0.3,2.1,0.047,35,147,0.9886,3.24,0.56,13.4,Good
6.1,0.19,0.37,2.6,0.041,24,99,0.99153,3.18,0.5,10.9,Good
5.5,0.3,0.25,1.9,0.029,33,118,0.98972,3.36,0.66,12.5,Good
6,0.52,0.33,7.7,0.046,24,119,0.99224,3.04,0.38,11,Good
8.4,0.35,0.71,12.2,0.046,22,160,0.9982,2.98,0.65,9.4,Bad
6.8,0.25,0.18,1.4,0.056,13,137,0.9935,3.11,0.42,9.5,Bad
6.4,0.26,0.43,12.6,0.033,64,230,0.9974,3.08,0.38,8.9,Bad
8.3,0.27,0.34,10.2,0.048,50,118,0.99716,3.18,0.51,10.3,Bad
6.1,0.6,0.12,1.8,0.05,11,76,0.99268,3.42,0.48,10.4,Bad
6.5,0.26,0.34,1.4,0.04,25,184,0.99216,3.29,0.46,10.7,Bad
7,0.57,0.1,8.3,0.094,23,188,0.9972,3.4,0.47,9.2,Bad
6.7,0.25,0.36,8.6,0.037,63,206,0.99553,3.18,0.5,9.6,Bad
7.2,0.4,0.24,8.5,0.055,45,151,0.99626,3.2,0.52,9.2,Bad
7.3,0.31,0.69,10.2,0.041,58,160,0.9977,3.06,0.45,8.6,Bad
6.8,0.3,0.24,6.6,0.123,35,116,0.9953,3.07,0.48,9.4,Bad
6.9,0.29,0.23,8.6,0.056,56,215,0.9967,3.17,0.44,8.8,Bad
7.6,0.38,0.2,3.4,0.046,9,116,0.9944,3.15,0.41,9.4,Bad
7,0.28,0.28,1.4,0.039,12,83,0.99173,3.18,0.65,11.1,Bad
7.6,0.15,0.4,1.3,0.036,24,112,0.9932,3.14,0.76,10,Bad
6.1,0.38,0.47,1.4,0.051,59,210,0.99309,3.24,0.5,9.6,Bad
7,0.12,0.28,6.3,0.057,17,103,0.9957,3.5,0.44,9.6,Bad
5.9,0.32,0.26,1.5,0.057,17,141,0.9917,3.24,0.36,10.7,Bad
5.7,0.33,0.15,1.9,0.05,20,93,0.9934,3.38,0.62,9.9,Bad
6.1,0.28,0.35,12.8,0.048,63,229,0.9975,3.08,0.4,8.9,Bad
5.8,0.22,0.3,1.1,0.047,36,131,0.992,3.26,0.45,10.4,Bad
5.9,0.655,0,5.6,0.033,8,31,0.9936,3.32,0.51,10.5,Bad
7.1,0.21,0.28,2.7,0.034,23,111,0.99405,3.35,0.64,10.2,Bad
5.5,0.17,0.23,2.9,0.039,10,108,0.99243,3.28,0.5,10,Bad
9.1,0.28,0.49,2,0.059,10,112,0.9958,3.15,0.46,10.1,Bad
6.5,0.27,0.4,10,0.039,74,227,0.99582,3.18,0.5,9.4,Bad
7,0.23,0.42,1.1,0.062,35,100,0.99318,3.04,0.4,9.2,Bad
7.9,0.29,0.39,6.7,0.036,6,117,0.9938,3.12,0.42,10.7,Bad
6.8,0.39,0.31,14.35,0.043,28,162,0.9988,3.17,0.54,9.1,Bad
7.2,0.21,0.36,15.7,0.045,68,183,0.99922,3.25,0.76,9.4,Bad
9.8,0.42,0.48,9.85,0.034,5,110,0.9958,2.87,0.29,10,Bad
5.2,0.17,0.27,0.7,0.03,11,68,0.99218,3.3,0.41,9.8,Bad
7.2,0.24,0.4,17.85,0.049,50,185,1,3.34,0.42,9.6,Bad
7.2,0.16,0.35,1.2,0.031,27,84,0.9928,3.33,0.34,9.9,Bad
5.6,0.35,0.37,1,0.038,6,72,0.9902,3.37,0.34,11.4,Bad
5.8,0.33,0.23,5,0.053,29,106,0.99458,3.13,0.52,9,Bad
